block	context	SZ	CSI	ProbeType	Ans	PC	RT
1	1	6	5	0	right'	0	0.880332039
1	1	6	5	2	right'	1	0.916711206
1	0	4	5	2	right'	1	0.708889291
1	0	4	5	0	right'	0	1.759035384
1	0	8	5	0	left'	1	1.108625921
1	0	8	5	1	left'	0	1.178051472
1	0	4	5	0	left'	1	0.827408166
1	0	4	5	0	left'	1	0.840619298
1	0	2	5	1	right'	1	0.853410034
1	0	2	5	0	left'	1	0.695199734
1	0	6	5	2	right'	1	0.784057904
1	0	6	5	0	left'	1	1.01089954
1	1	8	5	0	right'	0	0.744742271
1	1	8	5	1	left'	0	2.906255748
1	1	4	5	0	left'	1	0.822796822
1	1	4	5	0	left'	1	0.806021194
1	0	2	5	0	left'	1	0.667406145
1	0	2	5	0	left'	1	0.630783818
1	1	8	5	2	right'	1	0.741830279
1	1	8	5	0	left'	1	0.850117514
1	0	6	5	0	left'	1	1.533683099
1	0	6	5	2	right'	1	0.811593728
1	1	8	5	2	right'	1	0.588394746
1	1	8	5	1	right'	1	1.528439777
1	0	4	5	0	left'	1	0.756151419
1	0	4	5	0	left'	1	0.746838336
1	1	6	5	0	right'	0	0.877978998
1	1	6	5	0	left'	1	1.520911311
1	1	6	5	0	right'	0	0.782230261
1	1	6	5	0	left'	1	2.771500854
1	1	4	5	0	left'	1	0.673300786
1	1	4	5	0	right'	0	1.221376471
1	0	4	5	2	right'	1	0.83887692
1	0	4	5	2	right'	1	0.665211
1	1	8	5	2	right'	1	1.0409463
1	1	8	5	0	left'	1	0.609083423
1	1	2	5	0	left'	1	0.672319859
1	1	2	5	2	right'	1	0.59355675
1	0	4	5	2	right'	1	0.599045994
1	0	4	5	0	left'	1	1.341026275
1	0	6	5	0	left'	1	0.741514883
1	0	6	5	1	right'	1	1.086749472
1	1	6	5	0	left'	1	1.751573628
1	1	6	5	1	right'	1	0.808510025
1	1	8	5	0	left'	1	0.805573955
1	1	8	5	0	right'	0	1.761221055
1	1	8	5	0	left'	1	0.703392942
1	1	8	5	1	right'	1	0.824605517
1	0	4	5	0	left'	1	0.98866901
1	0	4	5	1	right'	1	1.07687665
1	0	2	5	2	right'	1	0.689291672
1	0	2	5	2	right'	1	0.680362276
1	1	8	5	2	right'	1	1.427814826
1	1	8	5	1	left'	0	2.485884915
1	1	6	5	0	left'	1	1.000420397
1	1	6	5	1	right'	1	1.063067487
1	0	2	5	2	right'	1	0.663997966
1	0	2	5	1	right'	1	1.284469617
1	0	8	5	1	right'	1	0.898777414
1	0	8	5	1	right'	1	0.720432255
1	1	6	5	1	right'	1	1.794087438
1	1	6	5	2	right'	1	2.637407937
1	1	2	5	0	left'	1	1.144126793
1	1	2	5	0	left'	1	0.709826402
1	0	2	5	1	right'	1	0.704022945
1	0	2	5	2	right'	1	0.603145361
1	1	4	5	2	right'	1	0.623747196
1	1	4	5	2	right'	1	0.954247355
1	0	8	5	2	right'	1	0.701323719
1	0	8	5	0	left'	1	1.759419465
1	0	4	5	1	right'	1	0.880276775
1	0	4	5	2	right'	1	0.693944069
1	0	2	5	0	left'	1	1.343502869
1	0	2	5	0	left'	1	0.802687227
1	0	2	5	0	left'	1	0.67514856
1	0	2	5	0	left'	1	0.830503316
1	0	6	5	1	right'	1	0.85949415
1	0	6	5	0	right'	0	0.639262817
1	0	2	5	0	left'	1	0.797819303
1	0	2	5	0	left'	1	0.682199392
1	0	4	5	1	right'	1	0.650478937
1	0	4	5	0	left'	1	0.754807726
1	0	4	5	0	left'	1	0.502141066
1	0	4	5	0	left'	1	1.471507328
1	1	8	5	0	left'	1	1.885586018
1	1	8	5	0	left'	1	0.813182948
1	0	6	5	0	left'	1	0.823251562
1	0	6	5	0	left'	1	0.921167812
1	0	6	5	0	left'	1	0.744646349
1	0	6	5	2	right'	1	0.619074668
1	1	4	5	2	right'	1	0.531825851
1	1	4	5	0	left'	1	0.502357383
1	1	4	5	1	right'	1	0.957062635
1	1	4	5	0	left'	1	0.754704305
1	1	8	5	2	right'	1	0.596617164
1	1	8	5	0	left'	1	0.792973089
1	0	8	5	2	right'	1	0.636621616
1	0	8	5	1	right'	1	0.917876477
1	1	2	5	2	right'	1	0.591295289
1	1	2	5	0	left'	1	1.187162843
1	1	2	5	1	right'	1	0.669361288
1	1	2	5	0	left'	1	0.497591696
1	1	4	5	1	right'	1	0.719476592
1	1	4	5	1	right'	1	0.743453842
1	0	8	5	1	right'	1	0.688448509
1	0	8	5	1	right'	1	0.790948472
1	1	2	5	0	left'	1	1.172806178
1	1	2	5	2	right'	1	0.546884757
1	1	2	5	2	right'	1	0.634909632
1	1	2	5	2	right'	1	0.527105954
1	1	8	5	0	left'	1	0.683575058
1	1	8	5	0	left'	1	0.620549414
1	1	6	5	1	right'	1	1.472408517
1	1	6	5	0	left'	1	0.597811645
1	0	8	5	1	right'	1	2.424031645
1	0	8	5	2	right'	1	0.793515855
1	1	4	5	2	right'	1	0.567584883
1	1	4	5	0	left'	1	0.713267343
1	0	2	5	2	right'	1	0.525391206
1	0	2	5	0	left'	1	0.686741657
1	0	8	5	2	right'	1	0.776372331
1	0	8	5	1	right'	1	0.671419064
1	1	8	5	2	right'	1	0.917382263
