sz,ProbeType,CSI,ProbeType2,CSI2,cueorder,cat1,cat2,trial,position,ups,downs,pos,color,col_a,col_b
1,0,0.3,0,2,1,1,0,28,480,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(0, 128, 128),(255, 128, 0)","(0, 128, 128)","(255, 128, 0)"
2,0,2,0,2,0,0,1,29,53,"(100, 200),(-100, 200)","(200, -100),(-200, -100)","(100, 200),(-100, 200),(200, -100),(-200, -100)","(107, 142, 35),(255, 182, 193),(128, 0, 128),(139, 69, 19)","(107, 142, 35),(255, 182, 193)","(128, 0, 128),(139, 69, 19)"
3,0,2,1,0.3,0,0,1,30,78,"(200, 100),(-200, 100),(100, 200)","(-200, -100),(200, -100),(-100, -200)","(200, 100),(-200, 100),(100, 200),(-200, -100),(200, -100),(-100, -200)","(0, 102, 102),(222, 184, 135),(0, 128, 128),(255, 128, 0),(0, 100, 0),(128, 0, 128)","(0, 102, 102),(222, 184, 135),(0, 128, 128)","(255, 128, 0),(0, 100, 0),(128, 0, 128)"
1,1,0.3,2,0.3,1,1,0,31,828,"(100, 200)","(200, -100)","(100, 200),(200, -100)","(0, 128, 128),(0, 100, 0)","(0, 128, 128)","(0, 100, 0)"
3,1,0.3,0,5,0,0,1,32,602,"(-100, 200),(100, 200),(-200, 100)","(-200, -100),(-100, -200),(100, -200)","(-100, 200),(100, 200),(-200, 100),(-200, -100),(-100, -200),(100, -200)","(107, 142, 35),(222, 184, 135),(0, 102, 102),(255, 128, 0),(128, 0, 128),(139, 69, 19)","(107, 142, 35),(222, 184, 135),(0, 102, 102)","(255, 128, 0),(128, 0, 128),(139, 69, 19)"
2,2,5,0,5,0,1,0,33,897,"(100, 200),(-100, 200)","(-100, -200),(200, -100)","(100, 200),(-100, 200),(-100, -200),(200, -100)","(255, 140, 0),(107, 142, 35),(255, 128, 0),(139, 69, 19)","(255, 140, 0),(107, 142, 35)","(255, 128, 0),(139, 69, 19)"
4,0,2,0,0.3,0,0,1,34,7,"(-100, 200),(-200, 100),(200, 100),(100, 200)","(200, -100),(-100, -200),(100, -200),(-200, -100)","(-100, 200),(-200, 100),(200, 100),(100, 200),(200, -100),(-100, -200),(100, -200),(-200, -100)","(107, 142, 35),(255, 140, 0),(0, 128, 128),(0, 102, 102),(255, 128, 0),(0, 100, 0),(0, 230, 115),(128, 0, 128)","(107, 142, 35),(255, 140, 0),(0, 128, 128),(0, 102, 102)","(255, 128, 0),(0, 100, 0),(0, 230, 115),(128, 0, 128)"
1,1,2,2,0.3,1,1,0,35,832,"(100, 200)","(200, -100)","(100, 200),(200, -100)","(255, 140, 0),(0, 230, 115)","(255, 140, 0)","(0, 230, 115)"
1,2,5,0,0.3,1,1,0,36,1052,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(255, 182, 193),(255, 128, 0)","(255, 182, 193)","(255, 128, 0)"
2,0,0.3,0,2,0,0,1,37,49,"(-100, 200),(-200, 100)","(-200, -100),(200, -100)","(-100, 200),(-200, 100),(-200, -100),(200, -100)","(255, 182, 193),(107, 142, 35),(255, 128, 0),(0, 230, 115)","(255, 182, 193),(107, 142, 35)","(255, 128, 0),(0, 230, 115)"
3,0,5,2,5,0,1,0,38,430,"(-200, 100),(200, 100),(-100, 200)","(-200, -100),(200, -100),(-100, -200)","(-200, 100),(200, 100),(-100, 200),(-200, -100),(200, -100),(-100, -200)","(107, 142, 35),(0, 128, 128),(222, 184, 135),(255, 128, 0),(128, 0, 128),(139, 69, 19)","(107, 142, 35),(0, 128, 128),(222, 184, 135)","(255, 128, 0),(128, 0, 128),(139, 69, 19)"
1,0,0.3,2,2,1,0,1,39,264,"(-200, 100)","(100, -200)","(-200, 100),(100, -200)","(0, 102, 102),(139, 69, 19)","(0, 102, 102)","(139, 69, 19)"
3,2,2,1,0.3,0,1,0,40,942,"(200, 100),(100, 200),(-200, 100)","(100, -200),(200, -100),(-200, -100)","(200, 100),(100, 200),(-200, 100),(100, -200),(200, -100),(-200, -100)","(222, 184, 135),(0, 102, 102),(0, 128, 128),(128, 0, 128),(0, 100, 0),(255, 128, 0)","(222, 184, 135),(0, 102, 102),(0, 128, 128)","(128, 0, 128),(0, 100, 0),(255, 128, 0)"
2,1,2,0,0.3,1,0,1,41,761,"(200, 100),(100, 200)","(-200, -100),(200, -100)","(200, 100),(100, 200),(-200, -100),(200, -100)","(107, 142, 35),(0, 128, 128),(139, 69, 19),(255, 128, 0)","(107, 142, 35),(0, 128, 128)","(139, 69, 19),(255, 128, 0)"
4,0,5,0,2,1,1,0,42,491,"(200, 100),(100, 200),(-100, 200),(-200, 100)","(100, -200),(-100, -200),(200, -100),(-200, -100)","(200, 100),(100, 200),(-100, 200),(-200, 100),(100, -200),(-100, -200),(200, -100),(-200, -100)","(0, 102, 102),(222, 184, 135),(255, 140, 0),(0, 128, 128),(0, 230, 115),(0, 100, 0),(139, 69, 19),(128, 0, 128)","(0, 102, 102),(222, 184, 135),(255, 140, 0),(0, 128, 128)","(0, 230, 115),(0, 100, 0),(139, 69, 19),(128, 0, 128)"
3,0,0.3,2,5,1,0,1,43,278,"(100, 200),(200, 100),(-200, 100)","(-200, -100),(200, -100),(-100, -200)","(100, 200),(200, 100),(-200, 100),(-200, -100),(200, -100),(-100, -200)","(107, 142, 35),(0, 128, 128),(222, 184, 135),(139, 69, 19),(128, 0, 128),(0, 230, 115)","(107, 142, 35),(0, 128, 128),(222, 184, 135)","(139, 69, 19),(128, 0, 128),(0, 230, 115)"
4,0,5,1,0.3,1,0,1,44,227,"(-200, 100),(-100, 200),(100, 200),(200, 100)","(200, -100),(100, -200),(-200, -100),(-100, -200)","(-200, 100),(-100, 200),(100, 200),(200, 100),(200, -100),(100, -200),(-200, -100),(-100, -200)","(255, 140, 0),(255, 182, 193),(0, 128, 128),(107, 142, 35),(0, 230, 115),(128, 0, 128),(139, 69, 19),(255, 128, 0)","(255, 140, 0),(255, 182, 193),(0, 128, 128),(107, 142, 35)","(0, 230, 115),(128, 0, 128),(139, 69, 19),(255, 128, 0)"
2,2,5,1,5,1,1,0,45,1113,"(100, 200),(-100, 200)","(-100, -200),(200, -100)","(100, 200),(-100, 200),(-100, -200),(200, -100)","(255, 140, 0),(0, 128, 128),(128, 0, 128),(0, 100, 0)","(255, 140, 0),(0, 128, 128)","(128, 0, 128),(0, 100, 0)"
4,0,5,0,0.3,0,1,0,46,335,"(100, 200),(-100, 200),(200, 100),(-200, 100)","(100, -200),(-100, -200),(200, -100),(-200, -100)","(100, 200),(-100, 200),(200, 100),(-200, 100),(100, -200),(-100, -200),(200, -100),(-200, -100)","(0, 128, 128),(0, 102, 102),(255, 182, 193),(107, 142, 35),(128, 0, 128),(139, 69, 19),(255, 128, 0),(0, 230, 115)","(0, 128, 128),(0, 102, 102),(255, 182, 193),(107, 142, 35)","(128, 0, 128),(139, 69, 19),(255, 128, 0),(0, 230, 115)"
4,1,5,0,0.3,0,0,1,47,587,"(-200, 100),(200, 100),(-100, 200),(100, 200)","(200, -100),(100, -200),(-100, -200),(-200, -100)","(-200, 100),(200, 100),(-100, 200),(100, 200),(200, -100),(100, -200),(-100, -200),(-200, -100)","(255, 182, 193),(255, 140, 0),(107, 142, 35),(0, 128, 128),(255, 128, 0),(139, 69, 19),(0, 100, 0),(128, 0, 128)","(255, 182, 193),(255, 140, 0),(107, 142, 35),(0, 128, 128)","(255, 128, 0),(139, 69, 19),(0, 100, 0),(128, 0, 128)"
