sz,ProbeType,CSI,ProbeType2,CSI2,cueorder,cat1,cat2,trial,position,ups,downs,pos,color,col_a,col_b
2,2,0.3,2,5,1,1,0,834,1141,"(-200, 100),(200, 100)","(200, -100),(-100, -200)","(-200, 100),(200, 100),(200, -100),(-100, -200)","(222, 184, 135),(0, 102, 102),(0, 230, 115),(139, 69, 19)","(222, 184, 135),(0, 102, 102)","(0, 230, 115),(139, 69, 19)"
1,2,5,0,2,1,0,1,835,1028,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(0, 128, 128),(255, 128, 0)","(0, 128, 128)","(255, 128, 0)"
2,2,2,0,2,1,1,0,836,1061,"(100, 200),(-100, 200)","(100, -200),(-200, -100)","(100, 200),(-100, 200),(100, -200),(-200, -100)","(255, 182, 193),(222, 184, 135),(128, 0, 128),(0, 230, 115)","(255, 182, 193),(222, 184, 135)","(128, 0, 128),(0, 230, 115)"
2,0,0.3,0,0.3,0,0,1,837,1,"(-200, 100),(200, 100)","(100, -200),(-100, -200)","(-200, 100),(200, 100),(100, -200),(-100, -200)","(0, 128, 128),(0, 102, 102),(128, 0, 128),(0, 100, 0)","(0, 128, 128),(0, 102, 102)","(128, 0, 128),(0, 100, 0)"
4,0,5,1,2,1,0,1,838,239,"(200, 100),(-100, 200),(-200, 100),(100, 200)","(-100, -200),(-200, -100),(200, -100),(100, -200)","(200, 100),(-100, 200),(-200, 100),(100, 200),(-100, -200),(-200, -100),(200, -100),(100, -200)","(222, 184, 135),(255, 182, 193),(255, 140, 0),(107, 142, 35),(255, 128, 0),(139, 69, 19),(0, 230, 115),(0, 100, 0)","(222, 184, 135),(255, 182, 193),(255, 140, 0),(107, 142, 35)","(255, 128, 0),(139, 69, 19),(0, 230, 115),(0, 100, 0)"
2,0,2,0,0.3,1,1,0,839,149,"(-200, 100),(-100, 200)","(-100, -200),(100, -200)","(-200, 100),(-100, 200),(-100, -200),(100, -200)","(0, 102, 102),(255, 182, 193),(139, 69, 19),(128, 0, 128)","(0, 102, 102),(255, 182, 193)","(139, 69, 19),(128, 0, 128)"
1,0,2,2,5,0,0,1,840,424,"(-100, 200)","(100, -200)","(-100, 200),(100, -200)","(107, 142, 35),(128, 0, 128)","(107, 142, 35)","(128, 0, 128)"
1,0,5,0,5,1,1,0,841,176,"(-100, 200)","(200, -100)","(-100, 200),(200, -100)","(0, 128, 128),(128, 0, 128)","(0, 128, 128)","(128, 0, 128)"
4,1,5,0,2,1,0,1,842,779,"(-200, 100),(200, 100),(100, 200),(-100, 200)","(-100, -200),(-200, -100),(100, -200),(200, -100)","(-200, 100),(200, 100),(100, 200),(-100, 200),(-100, -200),(-200, -100),(100, -200),(200, -100)","(255, 140, 0),(255, 182, 193),(0, 102, 102),(222, 184, 135),(0, 230, 115),(0, 100, 0),(139, 69, 19),(128, 0, 128)","(255, 140, 0),(255, 182, 193),(0, 102, 102),(222, 184, 135)","(0, 230, 115),(0, 100, 0),(139, 69, 19),(128, 0, 128)"
2,1,2,2,0.3,0,1,0,843,689,"(200, 100),(-100, 200)","(-100, -200),(200, -100)","(200, 100),(-100, 200),(-100, -200),(200, -100)","(0, 102, 102),(255, 182, 193),(128, 0, 128),(255, 128, 0)","(0, 102, 102),(255, 182, 193)","(128, 0, 128),(255, 128, 0)"
4,0,0.3,1,0.3,1,1,0,844,507,"(-100, 200),(-200, 100),(200, 100),(100, 200)","(-200, -100),(200, -100),(100, -200),(-100, -200)","(-100, 200),(-200, 100),(200, 100),(100, 200),(-200, -100),(200, -100),(100, -200),(-100, -200)","(0, 102, 102),(255, 140, 0),(0, 128, 128),(255, 182, 193),(139, 69, 19),(255, 128, 0),(0, 100, 0),(0, 230, 115)","(0, 102, 102),(255, 140, 0),(0, 128, 128),(255, 182, 193)","(139, 69, 19),(255, 128, 0),(0, 100, 0),(0, 230, 115)"
4,0,5,1,0.3,1,0,1,845,515,"(-100, 200),(-200, 100),(200, 100),(100, 200)","(200, -100),(-100, -200),(100, -200),(-200, -100)","(-100, 200),(-200, 100),(200, 100),(100, 200),(200, -100),(-100, -200),(100, -200),(-200, -100)","(0, 102, 102),(0, 128, 128),(255, 182, 193),(107, 142, 35),(128, 0, 128),(0, 100, 0),(0, 230, 115),(139, 69, 19)","(0, 102, 102),(0, 128, 128),(255, 182, 193),(107, 142, 35)","(128, 0, 128),(0, 100, 0),(0, 230, 115),(139, 69, 19)"
1,0,0.3,0,5,1,0,1,846,204,"(-100, 200)","(100, -200)","(-100, 200),(100, -200)","(0, 102, 102),(0, 230, 115)","(0, 102, 102)","(0, 230, 115)"
2,0,5,0,0.3,1,1,0,847,153,"(100, 200),(-100, 200)","(-100, -200),(-200, -100)","(100, 200),(-100, 200),(-100, -200),(-200, -100)","(0, 128, 128),(222, 184, 135),(0, 230, 115),(139, 69, 19)","(0, 128, 128),(222, 184, 135)","(0, 230, 115),(139, 69, 19)"
2,0,2,2,2,1,0,1,848,269,"(-200, 100),(-100, 200)","(-200, -100),(-100, -200)","(-200, 100),(-100, 200),(-200, -100),(-100, -200)","(255, 182, 193),(255, 140, 0),(0, 230, 115),(139, 69, 19)","(255, 182, 193),(255, 140, 0)","(0, 230, 115),(139, 69, 19)"
2,1,0.3,0,0.3,1,1,0,849,721,"(-100, 200),(100, 200)","(-200, -100),(100, -200)","(-100, 200),(100, 200),(-200, -100),(100, -200)","(222, 184, 135),(107, 142, 35),(128, 0, 128),(255, 128, 0)","(222, 184, 135),(107, 142, 35)","(128, 0, 128),(255, 128, 0)"
2,2,5,0,2,1,1,0,850,1065,"(-100, 200),(-200, 100)","(-100, -200),(100, -200)","(-100, 200),(-200, 100),(-100, -200),(100, -200)","(255, 182, 193),(0, 128, 128),(255, 128, 0),(139, 69, 19)","(255, 182, 193),(0, 128, 128)","(255, 128, 0),(139, 69, 19)"
4,0,2,0,5,1,0,1,851,463,"(-200, 100),(-100, 200),(100, 200),(200, 100)","(200, -100),(100, -200),(-100, -200),(-200, -100)","(-200, 100),(-100, 200),(100, 200),(200, 100),(200, -100),(100, -200),(-100, -200),(-200, -100)","(0, 128, 128),(107, 142, 35),(222, 184, 135),(255, 182, 193),(139, 69, 19),(128, 0, 128),(255, 128, 0),(0, 100, 0)","(0, 128, 128),(107, 142, 35),(222, 184, 135),(255, 182, 193)","(139, 69, 19),(128, 0, 128),(255, 128, 0),(0, 100, 0)"
1,2,5,2,2,1,0,1,852,1136,"(200, 100)","(-200, -100)","(200, 100),(-200, -100)","(0, 102, 102),(0, 100, 0)","(0, 102, 102)","(0, 100, 0)"
3,2,5,0,0.3,0,1,0,853,874,"(-100, 200),(100, 200),(200, 100)","(-100, -200),(-200, -100),(200, -100)","(-100, 200),(100, 200),(200, 100),(-100, -200),(-200, -100),(200, -100)","(0, 102, 102),(107, 142, 35),(255, 140, 0),(139, 69, 19),(0, 100, 0),(255, 128, 0)","(0, 102, 102),(107, 142, 35),(255, 140, 0)","(139, 69, 19),(0, 100, 0),(255, 128, 0)"
3,0,0.3,0,0.3,1,1,0,854,470,"(-100, 200),(200, 100),(-200, 100)","(100, -200),(200, -100),(-200, -100)","(-100, 200),(200, 100),(-200, 100),(100, -200),(200, -100),(-200, -100)","(222, 184, 135),(0, 102, 102),(107, 142, 35),(128, 0, 128),(255, 128, 0),(0, 230, 115)","(222, 184, 135),(0, 102, 102),(107, 142, 35)","(128, 0, 128),(255, 128, 0),(0, 230, 115)"
1,0,5,1,0.3,1,0,1,855,512,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(107, 142, 35),(128, 0, 128)","(107, 142, 35)","(128, 0, 128)"
2,2,2,0,2,1,1,0,856,1025,"(100, 200),(-100, 200)","(-100, -200),(200, -100)","(100, 200),(-100, 200),(-100, -200),(200, -100)","(0, 128, 128),(107, 142, 35),(255, 128, 0),(139, 69, 19)","(0, 128, 128),(107, 142, 35)","(255, 128, 0),(139, 69, 19)"
4,2,2,1,5,0,0,1,857,967,"(200, 100),(100, 200),(-200, 100),(-100, 200)","(-200, -100),(200, -100),(100, -200),(-100, -200)","(200, 100),(100, 200),(-200, 100),(-100, 200),(-200, -100),(200, -100),(100, -200),(-100, -200)","(0, 128, 128),(222, 184, 135),(255, 182, 193),(107, 142, 35),(0, 100, 0),(255, 128, 0),(0, 230, 115),(139, 69, 19)","(0, 128, 128),(222, 184, 135),(255, 182, 193),(107, 142, 35)","(0, 100, 0),(255, 128, 0),(0, 230, 115),(139, 69, 19)"
3,1,0.3,2,2,1,1,0,858,842,"(-100, 200),(200, 100),(100, 200)","(100, -200),(-100, -200),(200, -100)","(-100, 200),(200, 100),(100, 200),(100, -200),(-100, -200),(200, -100)","(0, 128, 128),(255, 140, 0),(107, 142, 35),(0, 230, 115),(255, 128, 0),(139, 69, 19)","(0, 128, 128),(255, 140, 0),(107, 142, 35)","(0, 230, 115),(255, 128, 0),(139, 69, 19)"
3,2,5,0,2,0,0,1,859,886,"(100, 200),(-200, 100),(200, 100)","(200, -100),(-100, -200),(100, -200)","(100, 200),(-200, 100),(200, 100),(200, -100),(-100, -200),(100, -200)","(255, 140, 0),(222, 184, 135),(255, 182, 193),(0, 230, 115),(128, 0, 128),(0, 100, 0)","(255, 140, 0),(222, 184, 135),(255, 182, 193)","(0, 230, 115),(128, 0, 128),(0, 100, 0)"
4,0,5,0,5,0,0,1,860,359,"(200, 100),(-200, 100),(100, 200),(-100, 200)","(100, -200),(200, -100),(-200, -100),(-100, -200)","(200, 100),(-200, 100),(100, 200),(-100, 200),(100, -200),(200, -100),(-200, -100),(-100, -200)","(222, 184, 135),(107, 142, 35),(0, 128, 128),(255, 140, 0),(0, 230, 115),(128, 0, 128),(0, 100, 0),(139, 69, 19)","(222, 184, 135),(107, 142, 35),(0, 128, 128),(255, 140, 0)","(0, 230, 115),(128, 0, 128),(0, 100, 0),(139, 69, 19)"
2,1,2,0,2,1,1,0,861,737,"(-100, 200),(-200, 100)","(200, -100),(-100, -200)","(-100, 200),(-200, 100),(200, -100),(-100, -200)","(255, 140, 0),(222, 184, 135),(0, 230, 115),(255, 128, 0)","(255, 140, 0),(222, 184, 135)","(0, 230, 115),(255, 128, 0)"
2,2,5,1,5,0,0,1,862,969,"(-200, 100),(100, 200)","(100, -200),(200, -100)","(-200, 100),(100, 200),(100, -200),(200, -100)","(222, 184, 135),(255, 182, 193),(255, 128, 0),(0, 100, 0)","(222, 184, 135),(255, 182, 193)","(255, 128, 0),(0, 100, 0)"
3,2,0.3,2,5,0,1,0,863,998,"(100, 200),(200, 100),(-200, 100)","(200, -100),(-100, -200),(100, -200)","(100, 200),(200, 100),(-200, 100),(200, -100),(-100, -200),(100, -200)","(0, 102, 102),(255, 140, 0),(222, 184, 135),(255, 128, 0),(139, 69, 19),(128, 0, 128)","(0, 102, 102),(255, 140, 0),(222, 184, 135)","(255, 128, 0),(139, 69, 19),(128, 0, 128)"
1,0,5,0,2,0,1,0,864,20,"(100, 200)","(-200, -100)","(100, 200),(-200, -100)","(222, 184, 135),(0, 100, 0)","(222, 184, 135)","(0, 100, 0)"
2,1,2,0,5,0,0,1,865,605,"(200, 100),(100, 200)","(200, -100),(100, -200)","(200, 100),(100, 200),(200, -100),(100, -200)","(255, 182, 193),(0, 102, 102),(0, 100, 0),(0, 230, 115)","(255, 182, 193),(0, 102, 102)","(0, 100, 0),(0, 230, 115)"
2,0,5,0,2,1,0,1,866,489,"(-100, 200),(200, 100)","(100, -200),(-100, -200)","(-100, 200),(200, 100),(100, -200),(-100, -200)","(255, 140, 0),(107, 142, 35),(139, 69, 19),(0, 100, 0)","(255, 140, 0),(107, 142, 35)","(139, 69, 19),(0, 100, 0)"
2,0,5,0,0.3,1,1,0,867,477,"(-200, 100),(200, 100)","(-200, -100),(200, -100)","(-200, 100),(200, 100),(-200, -100),(200, -100)","(255, 140, 0),(0, 128, 128),(0, 100, 0),(0, 230, 115)","(255, 140, 0),(0, 128, 128)","(0, 100, 0),(0, 230, 115)"
1,0,0.3,0,0.3,0,0,1,868,36,"(100, 200)","(200, -100)","(100, 200),(200, -100)","(0, 102, 102),(139, 69, 19)","(0, 102, 102)","(139, 69, 19)"
3,0,2,0,2,0,1,0,869,18,"(100, 200),(-200, 100),(200, 100)","(-200, -100),(200, -100),(-100, -200)","(100, 200),(-200, 100),(200, 100),(-200, -100),(200, -100),(-100, -200)","(107, 142, 35),(0, 128, 128),(0, 102, 102),(128, 0, 128),(255, 128, 0),(139, 69, 19)","(107, 142, 35),(0, 128, 128),(0, 102, 102)","(128, 0, 128),(255, 128, 0),(139, 69, 19)"
4,0,0.3,2,2,1,1,0,870,267,"(-100, 200),(200, 100),(-200, 100),(100, 200)","(100, -200),(-100, -200),(200, -100),(-200, -100)","(-100, 200),(200, 100),(-200, 100),(100, 200),(100, -200),(-100, -200),(200, -100),(-200, -100)","(107, 142, 35),(0, 102, 102),(255, 182, 193),(222, 184, 135),(0, 100, 0),(139, 69, 19),(128, 0, 128),(255, 128, 0)","(107, 142, 35),(0, 102, 102),(255, 182, 193),(222, 184, 135)","(0, 100, 0),(139, 69, 19),(128, 0, 128),(255, 128, 0)"
4,0,0.3,0,0.3,1,0,1,871,183,"(100, 200),(-200, 100),(-100, 200),(200, 100)","(-100, -200),(100, -200),(200, -100),(-200, -100)","(100, 200),(-200, 100),(-100, 200),(200, 100),(-100, -200),(100, -200),(200, -100),(-200, -100)","(222, 184, 135),(255, 140, 0),(0, 102, 102),(255, 182, 193),(139, 69, 19),(255, 128, 0),(0, 230, 115),(128, 0, 128)","(222, 184, 135),(255, 140, 0),(0, 102, 102),(255, 182, 193)","(139, 69, 19),(255, 128, 0),(0, 230, 115),(128, 0, 128)"
1,2,2,2,2,0,0,1,872,988,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(255, 140, 0),(0, 230, 115)","(255, 140, 0)","(0, 230, 115)"
3,0,5,1,0.3,1,1,0,873,226,"(-200, 100),(100, 200),(200, 100)","(200, -100),(-100, -200),(100, -200)","(-200, 100),(100, 200),(200, 100),(200, -100),(-100, -200),(100, -200)","(0, 128, 128),(222, 184, 135),(0, 102, 102),(255, 128, 0),(128, 0, 128),(0, 100, 0)","(0, 128, 128),(222, 184, 135),(0, 102, 102)","(255, 128, 0),(128, 0, 128),(0, 100, 0)"
3,0,5,0,0.3,1,1,0,874,190,"(100, 200),(-200, 100),(-100, 200)","(100, -200),(-200, -100),(200, -100)","(100, 200),(-200, 100),(-100, 200),(100, -200),(-200, -100),(200, -100)","(255, 140, 0),(255, 182, 193),(222, 184, 135),(255, 128, 0),(0, 230, 115),(0, 100, 0)","(255, 140, 0),(255, 182, 193),(222, 184, 135)","(255, 128, 0),(0, 230, 115),(0, 100, 0)"
3,0,5,0,2,0,0,1,875,310,"(-100, 200),(-200, 100),(200, 100)","(100, -200),(-200, -100),(200, -100)","(-100, 200),(-200, 100),(200, 100),(100, -200),(-200, -100),(200, -100)","(0, 128, 128),(255, 140, 0),(0, 102, 102),(128, 0, 128),(255, 128, 0),(139, 69, 19)","(0, 128, 128),(255, 140, 0),(0, 102, 102)","(128, 0, 128),(255, 128, 0),(139, 69, 19)"
1,0,5,0,2,1,0,1,876,164,"(100, 200)","(200, -100)","(100, 200),(200, -100)","(255, 182, 193),(0, 230, 115)","(255, 182, 193)","(0, 230, 115)"
3,0,5,2,0.3,0,1,0,877,118,"(100, 200),(-200, 100),(-100, 200)","(-100, -200),(200, -100),(100, -200)","(100, 200),(-200, 100),(-100, 200),(-100, -200),(200, -100),(100, -200)","(255, 140, 0),(0, 128, 128),(222, 184, 135),(139, 69, 19),(0, 230, 115),(128, 0, 128)","(255, 140, 0),(0, 128, 128),(222, 184, 135)","(139, 69, 19),(0, 230, 115),(128, 0, 128)"
1,2,0.3,0,0.3,0,0,1,878,900,"(200, 100)","(200, -100)","(200, 100),(200, -100)","(0, 102, 102),(255, 128, 0)","(0, 102, 102)","(255, 128, 0)"
3,1,5,0,2,1,1,0,879,742,"(100, 200),(-200, 100),(-100, 200)","(200, -100),(-200, -100),(-100, -200)","(100, 200),(-200, 100),(-100, 200),(200, -100),(-200, -100),(-100, -200)","(0, 128, 128),(255, 140, 0),(255, 182, 193),(128, 0, 128),(255, 128, 0),(0, 230, 115)","(0, 128, 128),(255, 140, 0),(255, 182, 193)","(128, 0, 128),(255, 128, 0),(0, 230, 115)"
3,2,2,2,2,1,1,0,880,1134,"(100, 200),(-200, 100),(200, 100)","(200, -100),(100, -200),(-100, -200)","(100, 200),(-200, 100),(200, 100),(200, -100),(100, -200),(-100, -200)","(255, 182, 193),(0, 128, 128),(107, 142, 35),(128, 0, 128),(255, 128, 0),(0, 100, 0)","(255, 182, 193),(0, 128, 128),(107, 142, 35)","(128, 0, 128),(255, 128, 0),(0, 100, 0)"
1,1,2,0,2,1,0,1,881,772,"(100, 200)","(-200, -100)","(100, 200),(-200, -100)","(255, 182, 193),(255, 128, 0)","(255, 182, 193)","(255, 128, 0)"
2,1,2,0,5,0,1,0,882,641,"(-200, 100),(100, 200)","(-100, -200),(-200, -100)","(-200, 100),(100, 200),(-100, -200),(-200, -100)","(107, 142, 35),(0, 128, 128),(139, 69, 19),(0, 230, 115)","(107, 142, 35),(0, 128, 128)","(139, 69, 19),(0, 230, 115)"
1,2,2,0,0.3,1,0,1,883,1048,"(-200, 100)","(-200, -100)","(-200, 100),(-200, -100)","(255, 182, 193),(128, 0, 128)","(255, 182, 193)","(128, 0, 128)"
3,0,0.3,2,2,0,0,1,884,122,"(-200, 100),(200, 100),(-100, 200)","(200, -100),(-200, -100),(-100, -200)","(-200, 100),(200, 100),(-100, 200),(200, -100),(-200, -100),(-100, -200)","(0, 128, 128),(0, 102, 102),(255, 140, 0),(0, 230, 115),(0, 100, 0),(128, 0, 128)","(0, 128, 128),(0, 102, 102),(255, 140, 0)","(0, 230, 115),(0, 100, 0),(128, 0, 128)"
3,1,0.3,0,0.3,0,1,0,885,578,"(-100, 200),(100, 200),(-200, 100)","(100, -200),(-200, -100),(-100, -200)","(-100, 200),(100, 200),(-200, 100),(100, -200),(-200, -100),(-100, -200)","(107, 142, 35),(0, 102, 102),(0, 128, 128),(255, 128, 0),(128, 0, 128),(0, 230, 115)","(107, 142, 35),(0, 102, 102),(0, 128, 128)","(255, 128, 0),(128, 0, 128),(0, 230, 115)"
4,0,0.3,0,0.3,1,1,0,886,435,"(100, 200),(200, 100),(-200, 100),(-100, 200)","(-100, -200),(-200, -100),(200, -100),(100, -200)","(100, 200),(200, 100),(-200, 100),(-100, 200),(-100, -200),(-200, -100),(200, -100),(100, -200)","(255, 140, 0),(255, 182, 193),(0, 128, 128),(222, 184, 135),(128, 0, 128),(0, 230, 115),(0, 100, 0),(139, 69, 19)","(255, 140, 0),(255, 182, 193),(0, 128, 128),(222, 184, 135)","(128, 0, 128),(0, 230, 115),(0, 100, 0),(139, 69, 19)"
2,0,5,1,0.3,1,0,1,887,225,"(-100, 200),(100, 200)","(-100, -200),(100, -200)","(-100, 200),(100, 200),(-100, -200),(100, -200)","(0, 128, 128),(107, 142, 35),(0, 230, 115),(255, 128, 0)","(0, 128, 128),(107, 142, 35)","(0, 230, 115),(255, 128, 0)"
1,0,5,0,2,1,1,0,888,200,"(200, 100)","(-100, -200)","(200, 100),(-100, -200)","(107, 142, 35),(255, 128, 0)","(107, 142, 35)","(255, 128, 0)"
4,0,0.3,1,5,1,0,1,889,531,"(-200, 100),(100, 200),(-100, 200),(200, 100)","(200, -100),(-200, -100),(-100, -200),(100, -200)","(-200, 100),(100, 200),(-100, 200),(200, 100),(200, -100),(-200, -100),(-100, -200),(100, -200)","(107, 142, 35),(0, 102, 102),(255, 140, 0),(222, 184, 135),(255, 128, 0),(0, 100, 0),(139, 69, 19),(0, 230, 115)","(107, 142, 35),(0, 102, 102),(255, 140, 0),(222, 184, 135)","(255, 128, 0),(0, 100, 0),(139, 69, 19),(0, 230, 115)"
1,2,2,0,0.3,0,0,1,890,868,"(100, 200)","(100, -200)","(100, 200),(100, -200)","(107, 142, 35),(0, 100, 0)","(107, 142, 35)","(0, 100, 0)"
4,0,5,0,5,1,1,0,891,467,"(-200, 100),(100, 200),(-100, 200),(200, 100)","(-200, -100),(-100, -200),(200, -100),(100, -200)","(-200, 100),(100, 200),(-100, 200),(200, 100),(-200, -100),(-100, -200),(200, -100),(100, -200)","(107, 142, 35),(222, 184, 135),(0, 128, 128),(0, 102, 102),(255, 128, 0),(128, 0, 128),(0, 230, 115),(0, 100, 0)","(107, 142, 35),(222, 184, 135),(0, 128, 128),(0, 102, 102)","(255, 128, 0),(128, 0, 128),(0, 230, 115),(0, 100, 0)"
4,2,5,2,5,0,1,0,892,1007,"(100, 200),(-200, 100),(200, 100),(-100, 200)","(100, -200),(-100, -200),(-200, -100),(200, -100)","(100, 200),(-200, 100),(200, 100),(-100, 200),(100, -200),(-100, -200),(-200, -100),(200, -100)","(222, 184, 135),(0, 128, 128),(255, 140, 0),(0, 102, 102),(0, 100, 0),(139, 69, 19),(128, 0, 128),(255, 128, 0)","(222, 184, 135),(0, 128, 128),(255, 140, 0),(0, 102, 102)","(0, 100, 0),(139, 69, 19),(128, 0, 128),(255, 128, 0)"
2,0,0.3,0,2,1,0,1,893,445,"(-200, 100),(-100, 200)","(-200, -100),(200, -100)","(-200, 100),(-100, 200),(-200, -100),(200, -100)","(107, 142, 35),(255, 182, 193),(255, 128, 0),(128, 0, 128)","(107, 142, 35),(255, 182, 193)","(255, 128, 0),(128, 0, 128)"
3,0,2,0,0.3,1,0,1,894,474,"(-100, 200),(200, 100),(100, 200)","(100, -200),(-200, -100),(200, -100)","(-100, 200),(200, 100),(100, 200),(100, -200),(-200, -100),(200, -100)","(107, 142, 35),(0, 128, 128),(222, 184, 135),(139, 69, 19),(0, 100, 0),(0, 230, 115)","(107, 142, 35),(0, 128, 128),(222, 184, 135)","(139, 69, 19),(0, 100, 0),(0, 230, 115)"
1,2,0.3,0,2,0,1,0,895,912,"(100, 200)","(200, -100)","(100, 200),(200, -100)","(255, 140, 0),(255, 128, 0)","(255, 140, 0)","(255, 128, 0)"
1,1,5,2,2,1,0,1,896,848,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(222, 184, 135),(0, 230, 115)","(222, 184, 135)","(0, 230, 115)"
3,0,5,1,5,0,1,0,897,106,"(200, 100),(-100, 200),(-200, 100)","(-200, -100),(100, -200),(-100, -200)","(200, 100),(-100, 200),(-200, 100),(-200, -100),(100, -200),(-100, -200)","(255, 182, 193),(255, 140, 0),(107, 142, 35),(0, 230, 115),(139, 69, 19),(128, 0, 128)","(255, 182, 193),(255, 140, 0),(107, 142, 35)","(0, 230, 115),(139, 69, 19),(128, 0, 128)"
2,0,0.3,0,2,1,1,0,898,481,"(-200, 100),(200, 100)","(-200, -100),(200, -100)","(-200, 100),(200, 100),(-200, -100),(200, -100)","(255, 182, 193),(255, 140, 0),(0, 100, 0),(139, 69, 19)","(255, 182, 193),(255, 140, 0)","(0, 100, 0),(139, 69, 19)"
2,1,2,1,5,0,0,1,899,677,"(-100, 200),(200, 100)","(-100, -200),(100, -200)","(-100, 200),(200, 100),(-100, -200),(100, -200)","(0, 102, 102),(0, 128, 128),(255, 128, 0),(0, 230, 115)","(0, 102, 102),(0, 128, 128)","(255, 128, 0),(0, 230, 115)"
2,0,0.3,0,5,0,0,1,900,61,"(-200, 100),(200, 100)","(-100, -200),(100, -200)","(-200, 100),(200, 100),(-100, -200),(100, -200)","(255, 140, 0),(0, 128, 128),(0, 230, 115),(0, 100, 0)","(255, 140, 0),(0, 128, 128)","(0, 230, 115),(0, 100, 0)"
3,1,2,1,0.3,1,1,0,901,798,"(-100, 200),(100, 200),(200, 100)","(-200, -100),(-100, -200),(100, -200)","(-100, 200),(100, 200),(200, 100),(-200, -100),(-100, -200),(100, -200)","(255, 182, 193),(255, 140, 0),(222, 184, 135),(139, 69, 19),(255, 128, 0),(0, 230, 115)","(255, 182, 193),(255, 140, 0),(222, 184, 135)","(139, 69, 19),(255, 128, 0),(0, 230, 115)"
3,0,5,1,5,1,0,1,902,250,"(200, 100),(-100, 200),(-200, 100)","(200, -100),(-200, -100),(-100, -200)","(200, 100),(-100, 200),(-200, 100),(200, -100),(-200, -100),(-100, -200)","(0, 102, 102),(107, 142, 35),(0, 128, 128),(128, 0, 128),(255, 128, 0),(0, 230, 115)","(0, 102, 102),(107, 142, 35),(0, 128, 128)","(128, 0, 128),(255, 128, 0),(0, 230, 115)"
2,2,2,0,0.3,0,1,0,903,869,"(100, 200),(-100, 200)","(100, -200),(200, -100)","(100, 200),(-100, 200),(100, -200),(200, -100)","(0, 102, 102),(222, 184, 135),(0, 100, 0),(255, 128, 0)","(0, 102, 102),(222, 184, 135)","(0, 100, 0),(255, 128, 0)"
3,1,5,0,0.3,1,1,0,904,730,"(-100, 200),(200, 100),(-200, 100)","(-200, -100),(200, -100),(-100, -200)","(-100, 200),(200, 100),(-200, 100),(-200, -100),(200, -100),(-100, -200)","(0, 102, 102),(107, 142, 35),(255, 182, 193),(0, 100, 0),(128, 0, 128),(0, 230, 115)","(0, 102, 102),(107, 142, 35),(255, 182, 193)","(0, 100, 0),(128, 0, 128),(0, 230, 115)"
1,2,2,1,5,1,0,1,905,1108,"(100, 200)","(-200, -100)","(100, 200),(-200, -100)","(107, 142, 35),(128, 0, 128)","(107, 142, 35)","(128, 0, 128)"
2,0,0.3,1,5,0,0,1,906,385,"(200, 100),(-200, 100)","(100, -200),(-200, -100)","(200, 100),(-200, 100),(100, -200),(-200, -100)","(0, 102, 102),(255, 182, 193),(139, 69, 19),(0, 230, 115)","(0, 102, 102),(255, 182, 193)","(139, 69, 19),(0, 230, 115)"
2,2,2,2,0.3,0,1,0,907,977,"(-100, 200),(200, 100)","(100, -200),(-200, -100)","(-100, 200),(200, 100),(100, -200),(-200, -100)","(0, 102, 102),(255, 140, 0),(0, 100, 0),(0, 230, 115)","(0, 102, 102),(255, 140, 0)","(0, 100, 0),(0, 230, 115)"
3,0,0.3,0,5,1,1,0,908,458,"(-100, 200),(100, 200),(-200, 100)","(200, -100),(100, -200),(-100, -200)","(-100, 200),(100, 200),(-200, 100),(200, -100),(100, -200),(-100, -200)","(255, 140, 0),(255, 182, 193),(222, 184, 135),(0, 230, 115),(0, 100, 0),(255, 128, 0)","(255, 140, 0),(255, 182, 193),(222, 184, 135)","(0, 230, 115),(0, 100, 0),(255, 128, 0)"
3,2,0.3,1,2,1,0,1,909,1094,"(100, 200),(200, 100),(-100, 200)","(100, -200),(-100, -200),(200, -100)","(100, 200),(200, 100),(-100, 200),(100, -200),(-100, -200),(200, -100)","(255, 182, 193),(222, 184, 135),(0, 102, 102),(128, 0, 128),(0, 230, 115),(255, 128, 0)","(255, 182, 193),(222, 184, 135),(0, 102, 102)","(128, 0, 128),(0, 230, 115),(255, 128, 0)"
2,0,2,0,2,0,0,1,910,341,"(-100, 200),(-200, 100)","(-100, -200),(200, -100)","(-100, 200),(-200, 100),(-100, -200),(200, -100)","(255, 182, 193),(255, 140, 0),(255, 128, 0),(0, 230, 115)","(255, 182, 193),(255, 140, 0)","(255, 128, 0),(0, 230, 115)"
2,0,5,2,2,0,1,0,911,417,"(-200, 100),(100, 200)","(-200, -100),(100, -200)","(-200, 100),(100, 200),(-200, -100),(100, -200)","(222, 184, 135),(255, 140, 0),(0, 230, 115),(0, 100, 0)","(222, 184, 135),(255, 140, 0)","(0, 230, 115),(0, 100, 0)"
1,1,0.3,2,2,1,0,1,912,840,"(200, 100)","(100, -200)","(200, 100),(100, -200)","(255, 182, 193),(0, 230, 115)","(255, 182, 193)","(0, 230, 115)"
