col_a,color,col_b,ups,pos,downs,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1,0, -1), (-1,0.8, -0.1)","(-1,0.8, -0.1), (0.1,-0.45183333, -0.846), (1,0.42, 0.507), (1,0, -1)","(1,0, -1), (-1,0.8, -0.1)","(-100, 200), (200, 100)","(-100, 200), (200, 100), (100, -200), (200, -100)","(100, -200), (200, -100)",2,0,5,0,2,0,1,0,21,21,,,,,,,,,,,,,,,,
"(0.1,-0.45183333, -0.846), (-1,0,0), (1,0.1, -1)","(1,0, -1), (0.1,-0.45183333, -0.846), (-1,0,0), (0, -1,0), (-1,0.8, -0.1), (1,0.1, -1)","(1,0, -1), (1,0.1, -1), (-1,0,0)","(100, 200), (-100, 200), (200, 100)","(100, 200), (-100, 200), (200, 100), (100, -200), (-100, -200), (-200, -100)","(100, -200), (-100, -200), (-200, -100)",3,2,0.3,2,2,0,1,0,22,986,,,,,,,,,,,,,,,,
"(1,0.1, -1), (-1,0.8, -0.1), (1,0, -1), (-1,-0.2 -0.2)","(1,0, -1), (-0.15701333,0.12,-0.1936), (1,0.1, -1), (-1,-0.2 -0.2), (-1,-0.22, -1), (-1,0.8, -0.1), (0, -1,0), (1,0.436,0.06)","(1,0.436,0.06), (-1,-0.2 -0.2), (1,0, -1), (-1,0.8, -0.1)","(100, 200), (-200, 100), (-100, 200), (200, 100)","(100, 200), (-200, 100), (-100, 200), (200, 100), (200, -100), (100, -200), (-100, -200), (-200, -100)","(200, -100), (100, -200), (-100, -200), (-200, -100)",4,0,5,0,2,1,0,1,23,203,,,,,,,,,,,,,,,,
"(1,0.42, 0.507)","(1,0.42, 0.507), (-1,-0.2 -0.2)","(-1,-0.2 -0.2)","(200, 100)","(200, 100), (-100, -200)","(-100, -200)",1,1,5,2,0.3,0,0,1,24,692,,,,,,,,,,,,,,,,
"(-1,-0.22, -1), (1,0.1, -1), (-1,-0.2 -0.2), (-0.15701333,0.12,-0.1936)","(-1,-0.22, -1), (0.1,-0.45183333, -0.846), (-0.15701333,0.12,-0.1936), (1,0, -1), (1,0.1, -1), (-1,0.8, -0.1), (1,0.436,0.06), (-1,-0.2 -0.2)","(1,0.1, -1), (-0.15701333,0.12,-0.1936), (-1,0.8, -0.1), (-1,-0.2 -0.2)","(-200, 100), (-100, 200), (200, 100), (100, 200)","(-200, 100), (-100, 200), (200, 100), (100, 200), (200, -100), (100, -200), (-100, -200), (-200, -100)","(200, -100), (100, -200), (-100, -200), (-200, -100)",4,2,2,0,5,1,1,0,25,1075,,,,,,,,,,,,,,,,
"(0, -1,0), (-0.15701333,0.12,-0.1936), (-1,-0.2 -0.2)","(0, -1,0), (-1,0,0), (1,0.1, -1), (-1,0.8, -0.1), (-1,-0.2 -0.2), (-0.15701333,0.12,-0.1936)","(0, -1,0), (1,0.1, -1), (-1,0.8, -0.1)","(200, 100), (100, 200), (-200, 100)","(200, 100), (100, 200), (-200, 100), (200, -100), (-100, -200), (-200, -100)","(200, -100), (-100, -200), (-200, -100)",3,0,0.3,0,0.3,0,0,1,26,326,,,,,,,,,,,,,,,,
"(1,0.42, 0.507)","(-1,-0.22, -1), (1,0.42, 0.507)","(1,0.42, 0.507)","(-200, 100)","(-200, 100), (-200, -100)","(-200, -100)",1,0,0.3,1,2,1,1,0,27,516,,,,,,,,,,,,,,,,
"(-1,-0.22, -1)","(-1,0,0), (-1,-0.22, -1)","(-1,-0.22, -1)","(-200, 100)","(-200, 100), (-200, -100)","(-200, -100)",1,0,0.3,0,2,1,1,0,28,480,,,,,,,,,,,,,,,,
"(0, -1,0), (1,0.42, 0.507)","(0, -1,0), (1,0.42, 0.507), (-1,0.8, -0.1), (-1,-0.2 -0.2)","(-1,0.8, -0.1), (0, -1,0)","(-100, 200), (-200, 100)","(-100, 200), (-200, 100), (200, -100), (100, -200)","(200, -100), (100, -200)",2,0,2,0,2,0,0,1,29,53,,,,,,,,,,,,,,,,
"(-0.15701333,0.12,-0.1936), (-1,-0.2 -0.2), (0.1,-0.45183333, -0.846)","(0.1,-0.45183333, -0.846), (-1,0.8, -0.1), (1,0.436,0.06), (-0.15701333,0.12,-0.1936), (0, -1,0), (-1,-0.2 -0.2)","(0, -1,0), (0.1,-0.45183333, -0.846), (1,0.436,0.06)","(100, 200), (-100, 200), (-200, 100)","(100, 200), (-100, 200), (-200, 100), (100, -200), (-100, -200), (-200, -100)","(100, -200), (-100, -200), (-200, -100)",3,0,2,1,0.3,0,0,1,30,78,,,,,,,,,,,,,,,,
"(-1,-0.22, -1)","(-1,-0.22, -1), (0, -1,0)","(0, -1,0)","(-100, 200)","(-100, 200), (100, -200)","(100, -200)",1,1,0.3,2,0.3,1,1,0,31,828,,,,,,,,,,,,,,,,
